"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2023-01-11,"08:55:00","D5","VVX10",15.1
2023-01-11,"08:55:00","D5","DVVX10",347
2023-01-11,NA,"X2","TM",11.2
2023-01-11,"12:21:00","X2","TX",16.2
2023-01-11,"04:15:00","X2","TN",7.1
2023-01-11,NA,"X2","HRM",69
2023-01-11,"05:30:00","X2","HRX",89
2023-01-11,"15:00:00","X2","HRN",47
2023-01-11,NA,"X4","TM",13
2023-01-11,"14:03:00","X4","TX",16.4
2023-01-11,"05:03:00","X4","TN",9.9
2023-01-11,NA,"X4","HRM",59
2023-01-11,"02:30:00","X4","HRX",81
2023-01-11,"14:31:00","X4","HRN",43
2023-01-11,NA,"X4","PM",1020.8
2023-01-11,"23:30:00","X4","PX",1023.9
2023-01-11,"05:01:00","X4","PN",1019
2023-01-11,NA,"X4","PPT",0
2023-01-11,NA,"X4","RS24h",5.6
2023-01-11,NA,"X4","VVM10",1.2
2023-01-11,NA,"X4","DVM10",290
2023-01-11,"10:09:00","X4","VVX10",9.4
2023-01-11,"10:09:00","X4","DVVX10",308
2023-01-11,NA,"X8","TM",11.6
2023-01-11,"14:45:00","X8","TX",15.1
2023-01-11,"02:06:00","X8","TN",7.5
2023-01-11,NA,"X8","HRM",63
2023-01-11,"00:50:00","X8","HRX",91
2023-01-11,"15:43:00","X8","HRN",51
2023-01-11,NA,"X8","PM",1014.9
2023-01-11,"23:02:00","X8","PX",1017.9
2023-01-11,"05:00:00","X8","PN",1013.1
2023-01-11,NA,"X8","PPT",0
2023-01-11,NA,"X8","RS24h",5.6
2023-01-11,NA,"X8","VVM10",2.1
2023-01-11,NA,"X8","DVM10",305
2023-01-11,"08:40:00","X8","VVX10",10.6
2023-01-11,"08:40:00","X8","DVVX10",331
2023-01-12,NA,"D5","TM",9.3
2023-01-12,"14:52:00","D5","TX",15.4
2023-01-12,"08:34:00","D5","TN",6.4
2023-01-12,NA,"D5","HRM",66
2023-01-12,"00:35:00","D5","HRX",78
2023-01-12,"14:31:00","D5","HRN",46
2023-01-12,NA,"D5","PM",977.7
2023-01-12,"10:06:00","D5","PX",979.8
2023-01-12,"23:57:00","D5","PN",975
2023-01-12,NA,"D5","PPT",0
2023-01-12,NA,"D5","RS24h",9.2
2023-01-12,NA,"D5","VVM10",6.2
2023-01-12,NA,"D5","DVM10",302
2023-01-12,"10:01:00","D5","VVX10",13.4
2023-01-12,"10:01:00","D5","DVVX10",326
2023-01-12,NA,"X2","TM",11.2
2023-01-12,"12:32:00","X2","TX",15.1
2023-01-12,"02:00:00","X2","TN",7.2
2023-01-12,NA,"X2","HRM",65
2023-01-12,"02:00:00","X2","HRX",90
2023-01-12,"12:33:00","X2","HRN",44
2023-01-12,NA,"X4","TM",12.2
2023-01-12,"12:28:00","X4","TX",16
2023-01-12,"06:00:00","X4","TN",9.6
2023-01-12,NA,"X4","HRM",56
2023-01-12,"01:52:00","X4","HRX",69
2023-01-12,"12:30:00","X4","HRN",40
2023-01-12,NA,"X4","PM",1023.1
2023-01-12,"10:00:00","X4","PX",1025.6
2023-01-12,"23:58:00","X4","PN",1020.5
2023-01-12,NA,"X4","PPT",0
2023-01-12,NA,"X4","RS24h",9.1
2023-01-12,NA,"X4","VVM10",1.9
2023-01-12,NA,"X4","DVM10",289
2023-01-12,"10:35:00","X4","VVX10",7.5
2023-01-12,"10:35:00","X4","DVVX10",296
